Label,Prediction,False Prediction,File Name
Label,Prediction,False Prediction,File Name
0,0.0,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/0/FF_US0002_20201026_033214_127_0251392_1.png
1,0.0,False,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_BE0001_20201021_184301_834_0141056_1.png
0,0.18,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/0/FF_NL0009_20210916_185818_108_0043008_1.png
1,0.89,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_NL0009_20210831_024437_531_0682752_1.png
0,0.0,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/0/FF_HR000Y_20200625_235954_906_0427264_2.png
1,0.84,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_NL0001_20210813_012939_993_0509440_1.png
1,0.89,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_BE0002_20190506_010548_803_0471296_1.png
0,0.0,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/0/FF_HR000Y_20200625_232105_960_0369152_1.png
1,0.63,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_BE0002_20190725_004031_476_0386560_1.png
1,0.92,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_NL0001_20210329_210755_742_0211200_1.png
1,0.06,False,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_BE0001_20200424_021932_547_0621056_1.png
1,0.85,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_BE0003_20200424_011437_060_0525824_1.png
0,0.93,False,/mnt/local/fiachra/meteor_images/files/20210121_pngs/0/FF_NL0001_20210813_232642_671_0328448_2.png
1,0.95,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_NL0001_20210312_021818_194_0723200_1.png
0,0.94,False,/mnt/local/fiachra/meteor_images/files/20210121_pngs/0/FF_NL0001_20210717_213445_673_0087296_3.png
0,0.02,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/0/FF_NL0001_20210819_203546_889_0091392_4.png
1,0.91,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_NL0001_20210319_022107_570_0710656_1.png
1,0.94,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_BE0001_20200710_230620_213_0234752_1.png
1,0.85,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_DE0001_20200828_195447_626_0082176_1.png
1,0.87,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_BE0002_20200625_223007_102_0154624_1.png
1,0.84,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_BE0002_20190824_005906_526_0502016_1.png
1,0.85,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_BE0001_20190917_231858_931_0439296_1.png
0,0.0,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/0/FF_NL0001_20210810_223747_178_0244736_1.png
0,0.93,False,/mnt/local/fiachra/meteor_images/files/20210121_pngs/0/FF_NL0001_20210815_204413_231_0091392_1.png
1,0.0,False,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_BE0001_20200328_032326_533_0786176_1.png
0,0.0,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/0/FF_NL0009_20210126_041534_278_1008128_3.png
1,0.84,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_BE0002_20200809_212813_038_0145152_1.png
0,0.96,False,/mnt/local/fiachra/meteor_images/files/20210121_pngs/0/FF_HR0010_20201105_013834_370_0836352_8.png
0,0.0,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/0/FF_NL0001_20210924_014024_410_0670464_3.png
0,0.0,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/0/FF_US0002_20201026_103811_871_0889856_1.png
1,0.84,True,/mnt/local/fiachra/meteor_images/files/20210121_pngs/1/FF_NL0001_20210915_004323_050_0553728_1.png
