Label,Prediction,True Prediction,File Name
0,0.99,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210114_224050_705_0536576_1.png
0,1.0,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210115_000537_348_0663296_1.png
0,0.89,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210115_003150_387_0702464_1.png
0,0.98,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210115_045059_546_1090304_1.png
0,0.8,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210115_050901_773_1117184_1.png
0,0.99,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210115_051257_266_1123072_1.png
0,1.0,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210115_051754_225_1130496_1.png
0,0.76,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210115_052027_827_1134336_1.png
0,0.96,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210115_052311_666_1138432_1.png
0,0.99,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210115_053235_157_1152512_1.png
0,0.29,True,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210126_015810_160_0804352_1.png
0,0.48,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210126_020855_341_0820480_1.png
0,1.0,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210126_023038_023_0852992_1.png
0,0.78,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210126_023352_713_0857856_1.png
0,0.99,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210126_024534_237_0875264_1.png
0,1.0,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210126_025526_533_0889600_1.png
0,0.57,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210126_025536_766_0889856_1.png
0,1.0,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210126_050306_515_1078784_1.png
0,1.0,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210126_051129_988_1091328_1.png
0,0.48,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210126_051708_023_1099776_1.png
0,0.99,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210126_053804_385_1131008_1.png
0,1.0,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210126_053905_852_1132544_1.png
0,0.97,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210126_053916_066_1132800_1.png
0,1.0,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210126_054048_246_1135104_1.png
0,0.98,False,/mnt/local/fiachra/meteor_images/files/20220218_pngs/0/FF_NL0009_20210126_054545_206_1142528_1.png
